plateId,wellId,mutant,geneLocus,function,umap1,umap2,functionalGroup,dotColor
Plate1_Drawer1 02-Oct-2025 11-48-52,B1,flgB,VC_2200,"Flagellar basal-body rod protein FlgB; Structural component of flagellum, the bacterial motility apparatus. Part of the rod structure of flagellar basal body.",6.306801,1.3524837,Motility,#ff0004
Plate1_Drawer1 02-Oct-2025 11-48-52,B10,flgP,VC_2206,Conserved hypothetical protein; Identified by Glimmer2; putative.,8.710127,1.684502,Motility,#ff0004
Plate1_Drawer1 02-Oct-2025 11-48-52,B11,fliQ,VC_2122,Flagellar biosynthetic protein FliQ; Role in flagellar biosynthesis. Belongs to the FliQ/MopD/SpaQ family.,7.2402463,0.6618084,Motility,#ff0004
Plate1_Drawer1 02-Oct-2025 11-48-52,B12,argF,VC_2508,Ornithine carbamoyltransferase; Reversibly catalyzes the transfer of the carbamoyl group from carbamoyl phosphate (CP) to the N(epsilon) atom of ornithine (ORN) to produce L-citrulline; Belongs to the aspartate/ornithine carbamoyltransferase superfamily. OTCase family.,10.895289,9.090462,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,B2,fliS,VC_2138,Flagellar protein FliS; Similar to GB:U12816 PID:1254205; identified by sequence similarity; putative.,6.8526726,0.567384,Motility,#ff0004
Plate1_Drawer1 02-Oct-2025 11-48-52,B3,VC_A1081,VC_A1081,Hypothetical protein; Identified by Glimmer2; putative.,10.359243,6.329894,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,B4,VC_1909,VC_1909,Hypothetical protein; Identified by Glimmer2; putative.,10.252698,9.608438,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,B5,VC_0449,VC_0449,Methyl-accepting chemotaxis protein; Similar to GB:X61367 PID:48195; identified by sequence similarity; putative.,10.568541,10.485382,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,B6,VC_1498,VC_1498,Conserved hypothetical protein; Identified by Glimmer2; putative.,8.880112,9.137244,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,B7,VC_2756,VC_2756,Potassium uptake protein TrkH; Low-affinity potassium transport system. Interacts with Trk system potassium uptake protein TrkA; Belongs to the TrkH potassium transport family.,8.222595,9.666044,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,B8,VC_0113,VC_0113,Methyltransferase-related protein; Similar to SP:P37431 PID:295895; identified by sequence similarity; putative.,9.576447,9.209773,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,B9,VC_1423,VC_1423,Hypothetical protein; Identified by Glimmer2; putative.,7.065023,5.6887374,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,C1,VC_A0588,VC_A0588,"Peptide ABC transporter, ATP-binding protein, putative; Similar to SP:P33916 PID:405909 GB:U00096 PID:1736845 PID:1788506; identified by sequence similarity; putative; Belongs to the ABC transporter superfamily.",8.600291,8.941409,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,C10,epsC,VC_2734,"General secretion pathway protein C; Involved in a type II secretion system (T2SS, formerly general secretion pathway, GSP) for the export of proteins (By similarity). Required for secretion of cholera toxin through the outer membrane.",9.688729,11.11518,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,C11,proQ,VC_1497,"Conserved hypothetical protein; RNA chaperone with significant RNA binding, RNA strand exchange and RNA duplexing activities; Belongs to the ProQ family.",10.61315,9.703305,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,C12,VC_2627,VC_2627,DamX-related protein; Similar to SP:P11557 GB:Z19601 PID:41226 PID:43274 PID:606322; identified by sequence similarity; putative.,10.805802,10.272404,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,C2,gshB,VC_0468,Glutathione synthetase; Similar to SP:P04425 GB:X01666 PID:41625 PID:882476 GB:U00096; identified by sequence similarity; putative.,5.8476467,2.7119625,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,C3,potB,VC_1427,"Spermidine/putrescine ABC transporter, permease protein; Similar to GB:M64519 SP:P23860 PID:147327 GB:U00096 PID:1651552; identified by sequence similarity; putative.",10.800946,2.3153274,Polyamine Import,#14f7f0
Plate1_Drawer1 02-Oct-2025 11-48-52,C4,flgE,VC_2197,Flagellar hook protein FlgE; Similar to GB:X51737 SP:P16322 GB:X52093 PID:47673; identified by sequence similarity; putative.,7.012789,2.739275,Motility,#ff0004
Plate1_Drawer1 02-Oct-2025 11-48-52,C5,glyQ,VC_0021,"glycyl-tRNA synthetase, alpha chain; Similar to SP:P00960 GB:J01622 PID:146222 PID:146225 PID:466698; identified by sequence similarity; putative.",11.541717,11.876931,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,C6,VC_0462,VC_0462,Twitching motility protein PilT; Similar to SP:P24559 GB:X67095 PID:151490; identified by sequence similarity; putative.,10.967069,11.491836,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,C7,flhA,VC_2069,"Flagellar biosynthetic protein FlhA; Required for formation of the rod structure of the flagellar apparatus. Together with FliI and FliH, may constitute the export apparatus of flagellin; Belongs to the FHIPEP (flagella/HR/invasion proteins export pore) family.",10.7498665,-2.186969,Motility,#ff0004
Plate1_Drawer1 02-Oct-2025 11-48-52,C8,VC_0399,VC_0399,MSHA biogenesis protein MshI; Similar to PID:791156 PID:791153; identified by sequence similarity; putative.,9.420514,5.66009,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,C9,fliD,VC_2140,"Flagellar hook-associated protein FliD; FILAMENT CAP Required for the morphogenesis and for the elongation of the flagellar filament by facilitating polymerization of the flagellin monomers at the tip of growing filament. Forms a capping structure, which prevents flagellin subunits (transported through the central channel of the flagellum) from leaking out without polymerization at the distal end (By similarity).",9.465957,6.591689,Motility,#ff0004
Plate1_Drawer1 02-Oct-2025 11-48-52,D1,VC_0196,VC_0196,ATP-dependent DNA helicase RecQ; Similar to GB:M87049 SP:P15043 GB:M30198 PID:147559 PID:148221; identified by sequence similarity; putative.,9.739559,8.967975,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,D10,VC_2270,VC_2270,Riboflavin,9.945172,11.401445,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,D11,VC_2718; VC_2719,VC_2718; VC_2719,,5.9759755,0.54325587,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,D2,VC_1933,VC_1933,Hypothetical protein; Identified by Glimmer2; putative.,9.852094,5.413447,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,D3,VC_A0001,VC_A0001,Hypothetical protein; Identified by Glimmer2; putative.,9.072223,9.03481,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,D4,fadR,VC_1900,Fatty acid metabolism regulator protein; Multifunctional regulator of fatty acid metabolism.,5.987523,0.5162705,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,D5,pilC,VC_2425,Type IV pilin biogenesis protein PilC; Involved in the translocation of the type IV pilin; Belongs to the GSP F family.,9.442688,10.389553,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,D6,pta,VC_1097,Phosphate acetyltransferase; Involved in acetate metabolism; In the N-terminal section; belongs to the CobB/CobQ family.,11.349128,12.133953,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,D7,VC_A0800,VC_A0800,creA protein; Similar to SP:P08367 GB:M13608 PID:147249 PID:147691 PID:537237; identified by sequence similarity; putative.,9.344402,1.484746,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,D8,wzt,VC_0247,lipopolysaccharide/O-antigen transport protein; Similar to GB:X59554 PID:48389; identified by sequence similarity; putative.,11.07608,11.984246,O-Antigen Biosynthesis,#0096ff
Plate1_Drawer1 02-Oct-2025 11-48-52,D9,wbeM,VC_0250,Iron-containing alcohol dehydrogenase family protein RfbM; Similar to GB:M26941 SP:P13604 PID:144714; identified by sequence similarity; putative.,7.6503797,8.9616,O-Antigen Biosynthesis,#0096ff
Plate1_Drawer1 02-Oct-2025 11-48-52,E1,VC_A0759,VC_A0759,"Arginine ABC transporter, periplasmic arginine-binding protein; Similar to SP:P30859 GB:X67753 GB:X86160 PID:40931 PID:769791; identified by sequence similarity; putative; Belongs to the bacterial solute-binding protein 3 family.",8.758634,9.940299,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,E11,VC_A0620,VC_A0620,"Thiosulfate sulfurtransferase SseA, putative; Similar to SP:P31142 GB:U00096 PID:1788869 PID:1799924; identified by sequence similarity; putative.",8.396045,10.074169,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,E12,trmJ,VC_0746,"RNA methyltransferase, TrmH family; Catalyzes the formation of 2'O-methylated cytidine (Cm32) or 2'O-methylated uridine (Um32) at position 32 in tRNA.",8.754402,10.407282,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,E2,VC_A0785,VC_A0785,GGDEF family protein; Similar to PID:1651932; identified by sequence similarity; putative.,9.534413,4.42937,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,E3,fliE,VC_2134,Flagellar hook-basal body complex protein FliE; Similar to PID:2338730; identified by sequence similarity; putative.,6.592576,1.3720036,Motility,#ff0004
Plate1_Drawer1 02-Oct-2025 11-48-52,E4,VC_1581,VC_1581,"NADH dehydrogenase, putative; Similar to SP:P33607 PID:397909 GB:U00096 PID:1788614 PID:1799638; identified by sequence similarity; putative.",10.626493,10.68825,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,E5,fliP,VC_2123,Flagellar biosynthetic protein FliP; Plays a role in the flagellum-specific transport system. Belongs to the FliP/MopC/SpaP family.,8.359182,-0.24783938,Motility,#ff0004
Plate1_Drawer1 02-Oct-2025 11-48-52,E6,lpxM,VC_0212,Lipid A biosynthesis (kdo)2-(lauroyl)-lipid IVA acyltransferase; Catalyzes the transfer of myristate from myristoyl-acyl carrier protein (ACP) to Kdo(2)-(lauroyl)-lipid IV(A) to form Kdo(2)- lipid A.,11.16533,3.9339254,O-Antigen Biosynthesis,#0096ff
Plate1_Drawer1 02-Oct-2025 11-48-52,E7,VC_2714,VC_2714,Transcriptional regulator OmpR; Similar to PID:2108342; identified by sequence similarity; putative.,9.879606,10.59507,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,E9,VC_1154,VC_1154,Hypothetical protein; Identified by Glimmer2; putative.,8.624379,9.746946,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,F10,cdgJ,VC_0137,Conserved hypothetical protein; Phosphodiesterase (PDE) that catalyzes the hydrolysis of cyclic diguanylate (c-di-GMP). Positively regulates motility and negatively regulates biofilm formation.,9.755478,7.236783,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,F11,recO,VC_2459,DNA repair protein RecO; Involved in DNA repair and RecF pathway recombination.,8.538425,8.886744,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,F12,VC_A0999,VC_A0999,"Transcriptional regulator, TetR family; Similar to GB:U00096 PID:1787354; identified by sequence similarity; putative.",9.632726,10.832251,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,F2,VC_2224,VC_2224,GGDEF family protein; Similar to GB:U00096 PID:1787603; identified by sequence similarity; putative.,9.188656,10.813185,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,F3,VC_A1099,VC_A1099,"ABC transporter, permease protein; Similar to SP:P33591 GB:X73143 PID:404846 PID:466613 GB:U00096; identified by sequence similarity; putative.",9.289734,10.734815,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,F4,VC_1320,VC_1320,DNA-binding response regulator; Similar to PID:1079807 SP:P52108 GB:U00096 PID:1742647 PID:1742658; identified by sequence similarity; putative.,8.442202,10.275392,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,F5,VC_1319,VC_1319,Sensor histidine kinase; Similar to GB:M36795 SP:P08336 GB:X13307 PID:145590 PID:305015; identified by sequence similarity; putative.,11.080116,12.092385,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,F6,VC_A0536,VC_A0536,Conserved hypothetical protein; Identified by Glimmer2; putative.,9.71543,9.686011,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,F7,VC_1414,VC_1414,"Thermostable carboxypeptidase 1; Broad specificity carboxypetidase that releases amino acids sequentially from the C-terminus, including neutral, aromatic, polar and basic residues.",10.569978,11.522972,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,F8,VC_A0527,VC_A0527,Conserved hypothetical protein; Identified by Glimmer2; putative.,9.811902,11.092632,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,F9,argH,VC_2641,Argininosuccinate lyase; Similar to SP:P11447 GB:J01590 GB:M21446 PID:145335 PID:396307; identified by sequence similarity; putative.,8.435237,10.238392,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,G1,guaB,VC_0767,"Inosine-5`-monophosphate dehydrogenase; Catalyzes the conversion of inosine 5'-phosphate (IMP) to xanthosine 5'-phosphate (XMP), the first committed and rate-limiting step in the de novo synthesis of guanine nucleotides, and therefore plays an important role in the regulation of cell growth. Belongs to the IMPDH/GMPR family.",10.466057,10.836784,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,G10,rluE,VC_1140,Pseudouridine synthase family 1 protein; Responsible for synthesis of pseudouridine from uracil-2457 in 23S ribosomal RNA; Belongs to the pseudouridine synthase RsuA family.,9.376548,6.8911357,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,G11,VC_2524,VC_2524,Conserved hypothetical protein; Catalyzes the hydrolysis of 3-deoxy-D-manno-octulosonate 8- phosphate (KDO 8-P) to 3-deoxy-D-manno-octulosonate (KDO) and inorganic phosphate; Belongs to the KdsC family.,8.511732,8.7352705,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,G12,VC_0900,VC_0900,GGDEF family protein; Similar to PID:1652841; identified by sequence similarity; putative.,9.832211,2.7219265,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,G2,VC_A0171,VC_A0171,Conserved hypothetical protein; Identified by Glimmer2; putative.,9.744697,6.119399,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,G3,fliJ,VC_2129,"Flagellar protein FliJ, putative; Similar to PID:1071644 SP:P52613 GB:U00096 PID:1736608 PID:1788252; identified by sequence similarity; putative.",8.738443,0.09051198,Motility,#ff0004
Plate1_Drawer1 02-Oct-2025 11-48-52,G4,VC_0161,VC_0161,Transcriptional activator IlvY; Similar to GB:L42023 SP:P44821 PID:1005575 PID:1220765 PID:1204932; identified by sequence similarity; putative; Belongs to the LysR transcriptional regulatory family.,8.74792,8.246498,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,G5,VC_0405,VC_0405,MSHA biogenesis protein MshE; Similar to PID:791156 PID:791159; identified by sequence similarity; putative.,9.992655,9.468838,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,G6,VC_1295,VC_1295,Conserved hypothetical protein; Phosphodiesterase (PDE) that catalyzes the hydrolysis of cyclic diguanylate (c-di-GMP) to GMP in vitro. Increases motility and decreases biofilm formation in vivo.,9.784706,11.171687,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,G8,manC,VC_0241,Mannose-1-phosphate guanylyltransferase; Similar to GB:X59554 SP:Q07024 PID:48383; identified by sequence similarity; putative.,3.023541,-0.42641944,O-Antigen Biosynthesis,#0096ff
Plate1_Drawer1 02-Oct-2025 11-48-52,H1,flhG,VC_2067,MinD-related protein; Similar to GP:3695013; identified by sequence similarity; putative. MULTIPLE FILAMENTS,2.8931415,6.3899465,Motility,#ff0004
Plate1_Drawer1 02-Oct-2025 11-48-52,H10,trpR,VC_0701,"Trp operon repressor, putative; This protein is an aporepressor. When complexed with L- tryptophan it binds the operator region of the trp operon and prevents the initiation of transcription (By similarity).",7.0489974,7.008529,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,H11,greA,VC_0634,"Transcription elongation factor GreA; Necessary for efficient RNA polymerase transcription elongation past template-encoded arresting sites. The arresting sites in DNA have the property of trapping a certain fraction of elongating RNA polymerases that pass through, resulting in locked ternary complexes. Cleavage of the nascent transcript by cleavage factors such as GreA or GreB allows the resumption of elongation from the new 3'terminus. GreA releases sequences of 2 to 3 nucleotides.",7.76929,6.902072,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,H12,VC_0419,VC_0419,Cytoplasmic axial filament protein; Similar to SP:P25537 PID:48826 PID:606187 GB:U00096 PID:1789645; identified by sequence similarity; putative.,10.1733675,7.534988,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,H2,VC_A0940,VC_A0940,"Transcriptional regulator, DeoR family; Similar to SP:P09392 GB:M96795 PID:146186 PID:606358 GB:U00096; identified by sequence similarity; putative.",8.865357,4.1267767,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,H3,ectA,VC_A0825,"L-2,4-diaminobutyric acid acetyltransferase; Catalyzes the acetylation of L-2,4-diaminobutyrate (DABA) to gamma-N-acetyl-alpha,gamma-diaminobutyric acid (ADABA) with acetyl coenzyme A.",8.410221,9.8953285,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,H4,VC_A0840,VC_A0840,"Deoxycytidylate deaminase, putative; Similar to SP:P33968 GB:X70289 PID:396216; identified by sequence similarity; putative.",9.365957,7.3860135,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,H6,VC_2522,VC_2522,Conserved hypothetical protein; Identified by Glimmer2; putative.,8.150418,9.099487,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,H7,glmS,VC_0487,"Glucosamine--fructose-6-phosphate aminotransferase (isomerizing); Catalyzes the first step in hexosamine metabolism, converting fructose-6P into glucosamine-6P using glutamine as a nitrogen source.",8.306118,7.621122,Unclassified,#ff00c3
Plate1_Drawer1 02-Oct-2025 11-48-52,H8,manA,VC_0269,Mannose-6-phosphate isomerase; Similar to SP:P25081 GB:X57117 PID:48820; identified by sequence similarity; putative; Belongs to the mannose-6-phosphate isomerase type 1 family.,2.6538496,-0.7154134,O-Antigen Biosynthesis,#0096ff
Plate1_Drawer1 02-Oct-2025 11-48-52,H9,nusB,VC_2267,N utilization substance protein B; Involved in transcription antitermination. Required for transcription of ribosomal RNA (rRNA) genes. Binds specifically to the boxA antiterminator sequence of the ribosomal RNA (rrn) operons.,8.211101,9.601044,Unclassified,#ff00c3
Plate1_Drawer1 07-Aug-2025 11-29-03,A1,ung,VC_2359,uracil-DNA glycosylase; Excises uracil residues from the DNA which can arise as a result of misincorporation of dUMP residues by DNA polymerase or due to deamination of cytosine.,9.533706,5.881601,Unclassified,#ff00c3
Plate1_Drawer1 07-Aug-2025 11-29-03,A10,VC_1462,VC_1462,RstB2 protein; Similar to GP:2564358; identified by sequence similarity; putative.,9.315086,6.1183414,Unclassified,#ff00c3
Plate1_Drawer1 07-Aug-2025 11-29-03,A12,wavA,VC_0223,"ADP-heptose--LPS heptosyltransferase II, putative; Similar to GB:L42023 SP:P44011 PID:1003930 PID:1222457 PID:1204774; identified by sequence similarity; putative.",9.896831,4.449027,O-Antigen Biosynthesis,#0096ff
Plate1_Drawer1 07-Aug-2025 11-29-03,A2,VC_2453,VC_2453,Sensor histidine kinase/response regulator; Similar to GB:D10888 SP:P26607 PID:216535 PID:882680 GB:U00096; identified by sequence similarity; putative.,10.528337,8.777304,Unclassified,#ff00c3
Plate1_Drawer1 07-Aug-2025 11-29-03,A3,VC_2311,VC_2311,HesA/MoeB/ThiF family protein; Similar to GB:D21145 PID:471103 PID:882707 GB:U00096 SP:Q46927; identified by sequence similarity; putative.,8.377855,6.5355086,Unclassified,#ff00c3
Plate1_Drawer1 07-Aug-2025 11-29-03,A4,lipA,VC_0943,"Lipoic acid synthetase; Catalyzes the radical-mediated insertion of two sulfur atoms into the C-6 and C-8 positions of the octanoyl moiety bound to the lipoyl domains of lipoate-dependent enzymes, thereby converting the octanoylated domains into lipoylated derivatives.",4.5765533,1.2301084,Pyruvate Flux,#39ff14
Plate1_Drawer1 07-Aug-2025 11-29-03,A5,rsmJ,VC_0073,Conserved hypothetical protein; Specifically methylates the guanosine in position 1516 of 16S rRNA.,7.307919,5.4068623,Unclassified,#ff00c3
Plate1_Drawer1 07-Aug-2025 11-29-03,A6,potC,VC_1426,"Spermidine/putrescine ABC transporter, permease protein; Similar to GB:M64519 SP:P23859 PID:147328 GB:U00096 PID:1651551; identified by sequence similarity; putative.",8.370959,6.663966,Polyamine Import,#14f7f0
Plate1_Drawer1 07-Aug-2025 11-29-03,A7,pckA,VC_2738,Phosphoenolpyruvate carboxykinase; Involved in the gluconeogenesis. Catalyzes the conversion of oxaloacetate (OAA) to phosphoenolpyruvate (PEP) through direct phosphoryl transfer between the nucleoside triphosphate and OAA. Belongs to the phosphoenolpyruvate carboxykinase (ATP) family.,8.652769,2.2046082,Unclassified,#ff00c3
Plate1_Drawer1 07-Aug-2025 11-29-03,A8,rluD,VC_0709,"Ribosomal large subunit pseudouridine synthase D; Responsible for synthesis of pseudouridine from uracil at positions 1911, 1915 and 1917 in 23S ribosomal RNA; Belongs to the pseudouridine synthase RluA family.",7.0462437,5.6843166,Unclassified,#ff00c3
Plate1_Drawer1 07-Aug-2025 11-29-03,A9,vibB,VC_0771,Vibriobactin-specific isochorismatase; Involved in the biosynthesis of the catechol siderophore vibriobactin. Vibriobactin is a chelating compound involved in transporting iron from the bacterial environment into the cell cytoplasm; Belongs to the isochorismatase family.,4.5554123,1.2112509,Vibriobactin Biosynthesis,#ba17f6
Plate1_Drawer1 07-Aug-2025 11-29-03,B1,flgB,VC_2200,"Flagellar basal-body rod protein FlgB; Structural component of flagellum, the bacterial motility apparatus. Part of the rod structure of flagellar basal body.",10.15669,-0.6483315,Motility,#ff0004
Plate1_Drawer1 07-Aug-2025 11-29-03,B10,flgP,VC_2206,Conserved hypothetical protein; Identified by Glimmer2; putative.,8.810584,1.689829,Motility,#ff0004
Plate1_Drawer1 07-Aug-2025 11-29-03,B2,fliS,VC_2138,Flagellar protein FliS; Similar to GB:U12816 PID:1254205; identified by sequence similarity; putative.,10.16551,-2.0208828,Motility,#ff0004
Plate1_Drawer1 07-Aug-2025 11-29-03,B3,VC_A1081,VC_A1081,Hypothetical protein; Identified by Glimmer2; putative.,9.819018,4.8072047,Unclassified,#ff00c3
Plate1_Drawer1 07-Aug-2025 11-29-03,B4,VC_1909,VC_1909,Hypothetical protein; Identified by Glimmer2; putative.,10.424306,8.3082905,Unclassified,#ff00c3
Plate1_Drawer1 07-Aug-2025 11-29-03,B5,VC_0449,VC_0449,Methyl-accepting chemotaxis protein; Similar to GB:X61367 PID:48195; identified by sequence similarity; putative.,6.8193564,6.6897573,Unclassified,#ff00c3
Plate1_Drawer1 07-Aug-2025 11-29-03,B6,VC_1498,VC_1498,Conserved hypothetical protein; Identified by Glimmer2; putative.,9.457777,5.3053784,Unclassified,#ff00c3
Plate1_Drawer1 07-Aug-2025 11-29-03,B7,VC_2756,VC_2756,Potassium uptake protein TrkH; Low-affinity potassium transport system. Interacts with Trk system potassium uptake protein TrkA; Belongs to the TrkH potassium transport family.,9.586072,3.0640945,Unclassified,#ff00c3
Plate1_Drawer1 07-Aug-2025 11-29-03,B8,VC_0113,VC_0113,Methyltransferase-related protein; Similar to SP:P37431 PID:295895; identified by sequence similarity; putative.,8.791317,2.6605422,Unclassified,#ff00c3
Plate1_Drawer1 07-Aug-2025 11-29-03,B9,VC_1423,VC_1423,Hypothetical protein; Identified by Glimmer2; putative.,8.909927,7.1098366,Unclassified,#ff00c3
Plate1_Drawer1 07-Aug-2025 11-29-03,C1,VC_A0588,VC_A0588,"Peptide ABC transporter, ATP-binding protein, putative; Similar to SP:P33916 PID:405909 GB:U00096 PID:1736845 PID:1788506; identified by sequence similarity; putative; Belongs to the ABC transporter superfamily.",9.120543,10.045377,Unclassified,#ff00c3
Plate1_Drawer1 07-Aug-2025 11-29-03,C10,epsC,VC_2734,"General secretion pathway protein C; Involved in a type II secretion system (T2SS, formerly general secretion pathway, GSP) for the export of proteins (By similarity). Required for secretion of cholera toxin through the outer membrane.",8.593505,9.618211,Unclassified,#ff00c3
